src,tgt
15+18+19=,52
(11+15)*45=,1170
(45-46)+48=,47
(35-49)+27=,13
28*20-43=,517
(21*12)+27=,279
48+48+23=,119
37-46-43=,-52
11-23*35=,-794
47-45*47=,-2068
27*(15-49)=,-918
47-30*34=,-973
31*35-37=,1048
42+(14*27)=,420
47+24+34=,105
31+28-17=,42
24-(36+15)=,-27
15+13-21=,7
45-44-46=,-45
28-11-23=,-6
(47*22)-28=,1006
13-29*25=,-712
39+(47*32)=,1543
33+(31-37)=,27
(11-31)+23=,3
40+19+13=,72
27+36+28=,91
30*26*37=,28860
28-(10*43)=,-402
44-(25+14)=,5
(11*30)+48=,378
13*15*36=,7020
(36*35)-36=,1224
19+(10*16)=,179
45*(27-31)=,-180
26*(47-32)=,390
41*(30-14)=,656
41*22+29=,931
10-32+31=,9
30*(36+44)=,2400
20+26+27=,73
15-48-46=,-79
48-17+12=,43
(11+12)-10=,13
(28-12)+23=,39
44-(42*13)=,-502
26+(21-47)=,0
15+(28*38)=,1079
25+21+34=,80
16+49*34=,1682
35-(18+33)=,-16
(32-47)*16=,-240
22-49-42=,-69
24*39-24=,912
(24*32)-31=,737
40+(30-33)=,37
22+(39-37)=,24
46*48-39=,2169
45+23+34=,102
42*36-26=,1486
49*45*19=,41895
47+48+17=,112
44+11*27=,341
(32+43)-27=,48
13+(29-34)=,8
35-27*44=,-1153
20*20*33=,13200
37+44-24=,57
(44-34)+17=,27
47-(39+33)=,-25
(22-19)*47=,141
23-45-42=,-64
25*46-40=,1110
(19-30)+42=,31
(19*14)+12=,278
(18-34)+40=,24
36-(29+42)=,-35
29*10-12=,278
(43-26)*10=,170
25-(43*31)=,-1308
(38*24)-44=,868
(14+16)-48=,-18
28+12*37=,472
43-22+33=,54
26-(32+36)=,-42
46-42-20=,-16
28*14+47=,439
48*17*20=,16320
15-41*29=,-1174
(23*39)+33=,930
31*31+40=,1001
45-(20*15)=,-255
(14-16)*14=,-28
17-46-21=,-50
16+48*19=,928
17+38-15=,40
31+(36*33)=,1219
49-(21*40)=,-791
(24-14)*17=,170
(16*37)-45=,547
12-(48*48)=,-2292
45-25*49=,-1180
33-20+39=,52
36-44+36=,28
26-(22*38)=,-810
25-(31+14)=,-20
38*(35+49)=,3192
31+11+21=,63
37-10-44=,-17
24+27*27=,753
(45*29)-29=,1276
(29-45)*30=,-480
15-(33*10)=,-315
28-35+35=,28
(43*45)+40=,1975
(20-43)*45=,-1035
(15-19)*34=,-136
43+11*45=,538
19-(30+30)=,-41
12-(18+34)=,-40
13+12-34=,-9
(42+21)-10=,53
(25*11)+34=,309
41*26-11=,1055
41-18+32=,55
(35-38)+14=,11
49-(37+10)=,2
15+(41-13)=,43
(16*42)+40=,712
(12-42)+41=,11
(26-22)+21=,25
(37+38)-34=,41
15-(30*48)=,-1425
19-(49+42)=,-72
(11+20)*31=,961
(43-17)+19=,45
18-(20*27)=,-522
44-36-31=,-23
(41+41)-39=,43
(10+45)*46=,2530
24*(25-21)=,96
(34+26)*42=,2520
30*46*25=,34500
(41*12)+21=,513
(29+41)*41=,2870
34-46-45=,-57
(21-49)+10=,-18
25+(43*11)=,498
26+(21-25)=,22
36-(18*47)=,-810
(41*40)-36=,1604
(17-11)*15=,90
(17-21)*28=,-112
37-(21*11)=,-194
26+(44*35)=,1566
20-47*38=,-1766
20+24*10=,260
41-19-42=,-20
36+11+36=,83
40-37-25=,-22
(30*14)+16=,436
27-40-36=,-49
41*(11+32)=,1763
(34-10)+42=,66
(21-34)+44=,31
(46+10)*17=,952
28-(49*12)=,-560
49+44-11=,82
30+47+21=,98
21*(16+16)=,672
14+21*27=,581
43+(41*18)=,781
24+46*42=,1956
(25*28)+17=,717
28*14-14=,378
(14*36)-26=,478
(20+46)*38=,2508
34*30-36=,984
10+(40*14)=,570
(29*37)-16=,1057
(35+14)-26=,23
17-(24*43)=,-1015
(15-16)*34=,-34
42-21*46=,-924
19-29-42=,-52
30-49*29=,-1391
(47*34)+20=,1618
15*(20+41)=,915
(19+30)*29=,1421
49+(15-47)=,17
10+23-38=,-5
49*(36+49)=,4165
(33+12)-22=,23
43-46-18=,-21
37*(13-24)=,-407
37*19-16=,687
29+21*12=,281
(36*23)+38=,866
(49*47)-21=,2282
27+18+14=,59
33-27+26=,32
42*46+26=,1958
43-45+35=,33
28-(13*37)=,-453
19-19-10=,-10
(11+32)-10=,33
26*48+10=,1258
36*42-21=,1491
39+21+24=,84
(30-33)+11=,8
(14-48)+37=,3
21*26+49=,595
(44-44)+11=,11
34*18*19=,11628
31-(38+37)=,-44
26-36-30=,-40
32+20-11=,41
34+(12-21)=,25
47*15-12=,693
28*(35-13)=,616
41-(20+43)=,-22
(34*48)-40=,1592
(43*46)+32=,2010
46-21*18=,-332
29-18+30=,41
40-40-21=,-21
31*46*31=,44206
15+(49-23)=,41
(15+18)-25=,8
25-(10+17)=,-2
25-28-41=,-44
38*27+22=,1048
39-(32*28)=,-857
(10+37)-43=,4
(36*45)+18=,1638
29+37-31=,35
46-(13*21)=,-227
14*26-10=,354
38-27*23=,-583
39*(46+46)=,3588
22*(28+33)=,1342
22+(12*47)=,586
(30+45)-40=,35
22*28+46=,662
(14+12)*22=,572
43*(48+35)=,3569
14-(28+45)=,-59
41+48-15=,74
33+41-48=,26
24*45+43=,1123
43-49+13=,7
21+(48-12)=,57
22+(48*14)=,694
12*48-30=,546
24+(20-10)=,34
29+22*48=,1085
(45+23)-22=,46
15-37*27=,-984
15+(14-23)=,6
34*41-27=,1367
33+17+32=,82
45+20-15=,50
49-(43+35)=,-29
38+(48*35)=,1718
48*(14-40)=,-1248
19*39*12=,8892
17+(25-13)=,29
11*32-48=,304
30+(30-45)=,15
31*23+48=,761
37-(19*34)=,-609
36+(39-49)=,26
14+13*49=,651
30*21+29=,659
22+16-33=,5
44+(36*20)=,764
13-48-20=,-55
35+13*26=,373
(26-30)+22=,18
13+(33-28)=,18
21*37*36=,27972
26-30*23=,-664
36+(11-43)=,4
(43*23)-49=,940
(49-47)*38=,76
(36*40)+45=,1485
24*(47-39)=,192
13*10*14=,1820
16*15*24=,5760
(31+11)-33=,9
(42*34)+32=,1460
(37*30)-29=,1081
27+(15-33)=,9
(37-20)*42=,714
(12*18)-12=,204
(10+18)-36=,-8
(10+33)*47=,2021
43*(41+15)=,2408
(43+48)-29=,62
(31+40)*30=,2130
24*24+13=,589
33*(22+44)=,2178
13-19-35=,-41
46+(13-34)=,25
13*24-49=,263
11+(21*48)=,1019
19*37*14=,9842
(29-23)*14=,84
46+(30*24)=,766
39+(14*35)=,529
20+27*34=,938
13+(31-37)=,7
15*46-44=,646
(12+30)-16=,26
20*(48-25)=,460
48+23-45=,26
29-27*46=,-1213
(21-40)*40=,-760
40*(20-25)=,-200
38-(26*37)=,-924
25+(17*33)=,586
(33*12)-25=,371
(15+36)*14=,714
(40-45)*20=,-100
48+40*10=,448
26*23*23=,13754
