src,tgt
(17+43)-49=,11
45+(10-48)=,7
49+(13-43)=,19
(13-43)+14=,-16
(13-10)+46=,49
13-42+11=,-18
13+(42-48)=,7
17-13-13=,-9
48+(48-42)=,54
(16+44)-16=,44
(45+12)-43=,14
44-11+43=,76
43-15-16=,12
(10-41)+41=,10
45-49-41=,-45
48-(47+16)=,-15
42-16+49=,75
15+42-47=,10
15+47-14=,48
16-17-43=,-44
46-10+10=,46
11-(16+46)=,-51
41-11-49=,-19
17+12+46=,75
48+47+45=,140
15+16+16=,47
(16-47)+44=,13
(44-17)+45=,72
(14+43)-10=,47
48+(16-47)=,17
47-(12+13)=,22
(45+13)-10=,48
(46-46)+11=,11
46-(48+12)=,-14
42+(41-17)=,66
12-43+41=,10
49+(49-13)=,85
43+12+41=,96
41-49+15=,7
(45+44)-49=,40
(48-49)+41=,40
12-17+12=,7
43+15-15=,43
10+44-17=,37
42+42+10=,94
15+11-16=,10
17+46-46=,17
44-(46+12)=,-14
11-13-11=,-13
12+(12-48)=,-24
(48+12)-13=,47
13+(16-12)=,17
10+47+17=,74
45+46+11=,102
42-17+45=,70
41-(41+42)=,-42
(41+42)-12=,71
14-45+11=,-20
(13-13)+42=,42
49+12+45=,106
17-(13+11)=,-7
(47+17)-47=,17
48+(49-44)=,53
45-11-41=,-7
48-(10+48)=,-10
16-(17+13)=,-14
43+(17-44)=,16
(46-10)+41=,77
45+(49-42)=,52
45+47-13=,79
44+(48-15)=,77
13+14-44=,-17
10+42-15=,37
(11-11)+14=,14
(16+15)-41=,-10
14+17+41=,72
16+(11-45)=,-18
(46-17)+46=,75
16-(49+13)=,-46
12+(44-49)=,7
42-16-13=,13
13-48+48=,13
(45+12)-44=,13
41-(13+44)=,-16
48+17+45=,110
14+(17-10)=,21
48-45+10=,13
49+10-12=,47
(17-49)+12=,-20
11+13-16=,8
15+(16-49)=,-18
(13+49)-12=,50
(49-15)+46=,80
48+(47-17)=,78
42+42+44=,128
46+41+48=,135
49-45+42=,46
(42-10)+15=,47
15-42+11=,-16
(10-10)+49=,49
(44-17)+15=,42
(10-45)+10=,-25
15+46+17=,78
45+16-42=,19
41+45-15=,71
12+12+46=,70
14+43+48=,105
17-41-43=,-67
(47+17)-10=,54
41-(11+48)=,-18
(10-16)+47=,41
48+49+14=,111
13+11-17=,7
48-11-42=,-5
(45+43)-16=,72
45-(43+44)=,-42
44-43-10=,-9
44+17+45=,106
49+14-14=,49
13+(13-47)=,-21
44-15-16=,13
42+(42-44)=,40
43-10+49=,82
(13+45)-48=,10
(11-17)+15=,9
49-47+11=,13
(44-14)+14=,44
(43+48)-48=,43
(14-13)+49=,50
16-(41+47)=,-72
49+10+45=,104
41-41-10=,-10
(41+12)-12=,41
(44+44)-12=,76
47+15+10=,72
16-(17+42)=,-43
14+48+17=,79
41-(42+48)=,-49
17-46-10=,-39
45+(12-14)=,43
46+10+45=,101
(11+49)-11=,49
11-14+12=,9
17+(11-13)=,15
46+(49-45)=,50
45+41-45=,41
11-13+48=,46
46-(41+44)=,-39
49-(49+46)=,-46
11+16+41=,68
10+48+44=,102
12+42+10=,64
12+10-12=,10
45-44-47=,-46
12-(17+48)=,-53
16-(17+16)=,-17
47+12+17=,76
43+(46-10)=,79
(48+13)-47=,14
11+48-47=,12
(41+45)-15=,71
(48-17)+44=,75
13+(43-43)=,13
(13-49)+49=,13
41-49+49=,41
42+42-13=,71
46-12-45=,-11
46+(12-14)=,44
42-15-44=,-17
47+15-42=,20
43+(49-46)=,46
48+(49-43)=,54
(43+15)-43=,15
48+12-15=,45
48+17+41=,106
17-(44+12)=,-39
(10+17)-46=,-19
42+43-42=,43
(12+10)-12=,10
(16-13)+46=,49
(17-41)+41=,17
15-16+49=,48
(49+14)-11=,52
43-(46+48)=,-51
(46-45)+15=,16
46-(17+42)=,-13
48-12-17=,19
46-14+43=,75
10-(13+47)=,-50
49-43+14=,20
(49+41)-10=,80
14+(48-46)=,16
17+16-45=,-12
16-16+47=,47
49-10+10=,49
12+(12-47)=,-23
42+49+48=,139
14-41-46=,-73
(45+13)-45=,13
10+15+48=,73
45-15-42=,-12
46+48+10=,104
41-12-45=,-16
13+45+42=,100
(41+44)-41=,44
10-(11+49)=,-50
41-(47+41)=,-47
(46+41)-44=,43
17+(10-17)=,10
10-44+48=,14
46-11+10=,45
41+44+46=,131
(11+14)-16=,9
16-45+47=,18
47+(41-44)=,44
17+49-13=,53
(44+14)-48=,10
49+14+14=,77
44-46+41=,39
(48+49)-10=,87
(12-44)+45=,13
13-(15+42)=,-44
17+42-11=,48
42-47-16=,-21
(14-41)+46=,19
(12+42)-43=,11
16+(15-46)=,-15
15-(14+48)=,-47
16-(47+14)=,-45
(17+45)-43=,19
12-48-44=,-80
(17-17)+12=,12
(47-41)+11=,17
13-(48+17)=,-52
12+14-16=,10
14+(11-11)=,14
12-(49+49)=,-86
15-47+46=,14
44+14-15=,43
(17+43)-17=,43
16+43+46=,105
(48-47)+49=,50
(41-13)+46=,74
(46-13)+17=,50
16+(43-15)=,44
15+48-45=,18
43+48+11=,102
(10+49)-11=,48
48-(12+17)=,19
(11-48)+15=,-22
13-43+46=,16
(15-48)+42=,9
45-47+41=,39
(47-16)+16=,47
10-42-43=,-75
49-43+41=,47
15+(48-14)=,49
(47+43)-10=,80
11-42+45=,14
12+(48-12)=,48
17-49+11=,-21
(17+17)-13=,21
(45-48)+15=,12
(17+47)-41=,23
13+(42-16)=,39
45+(44-42)=,47
43-(43+49)=,-49
11-13+12=,10
15+15+49=,79
(13-49)+11=,-25
49+10+14=,73
10+(47-11)=,46
15+14-46=,-17
17+(46-11)=,52
10+44+48=,102
15+(43-42)=,16
(17-46)+14=,-15
49-11-15=,23
41+43+43=,127
49+44+47=,140
15+14-43=,-14
41+47-11=,77
16-44+48=,20
12-47+46=,11
43-49-15=,-21
(49-12)+47=,84
(10-42)+12=,-20
44+(11-14)=,41
41-49+17=,9
17+15+11=,43
12+10+43=,65
49+10+48=,107
17+49-49=,17
45+(43-43)=,45
42-47+11=,6
15+(12-17)=,10
(13+47)-44=,16
16+42+12=,70
16+47+46=,109
16+47+13=,76
43-(17+17)=,9
42+(10-17)=,35
(10+48)-14=,44
45-14-46=,-15
47+44+43=,134
(15-48)+16=,-17
(42+44)-46=,40
12-49+15=,-22
49+49-47=,51
14+(49-45)=,18
11+(41-41)=,11
14-(14+49)=,-49
44-(12+12)=,20
(15+41)-46=,10
47+(41-43)=,45
14+12-17=,9
10+42+41=,93
12+43-47=,8
11+42+14=,67
(43+49)-15=,77
14-(43+13)=,-42
15+41-45=,11
45+(45-42)=,48
49-49+14=,14
14-(43+49)=,-78
(49+14)-49=,14
43+46+47=,136
13+41-15=,39
42+10+11=,63
48+11+43=,102
14+(16-11)=,19
12+(46-12)=,46
(47-41)+43=,49
(49+49)-47=,51
15-(13+49)=,-47
43+(49-10)=,82
49+43+43=,135
14+43-44=,13
(12+10)-42=,-20
48-13+12=,47
(17+42)-41=,18
11-(41+46)=,-76
45+(47-13)=,79
11-(17+49)=,-55
48+43-12=,79
12+(15-17)=,10
10+41-41=,10
42-12-43=,-13
44-47+49=,46
(12+42)-12=,42
13+11-42=,-18
14-(44+45)=,-75
12+(47-45)=,14
(16+16)-45=,-13
10-(12+17)=,-19
12+12+14=,38
15+13-45=,-17
42-13+45=,74
44+(41-16)=,69
43-48-15=,-20
45+14-42=,17
(42+13)-43=,12
48+17+10=,75
48+(17-49)=,16
47+10+44=,101
41-12+15=,44
12-48-42=,-78
49+49-17=,81
47+(17-16)=,48
42-16+47=,73
(12+44)-47=,9
(46-43)+13=,16
(12-12)+11=,11
43-(12+42)=,-11
43+(48-47)=,44
12+(43-41)=,14
(42+42)-49=,35
11+17+14=,42
44-44+44=,44
14-(41+43)=,-70
(47-47)+44=,44
48-46-13=,-11
14+13+17=,44
42+49-42=,49
48+(43-49)=,42
49-(13+46)=,-10
46+47-47=,46
42+(49-17)=,74
44-(10+13)=,21
(48-47)+45=,46
(46-41)+42=,47
(42+44)-15=,71
49+10+46=,105
11+42+48=,101
(13+43)-44=,12
16-11+13=,18
(13-16)+48=,45
12-41-17=,-46
43-(12+41)=,-10
10+48-16=,42
41+(14-11)=,44
16-15+46=,47
44+(43-12)=,75
10+(45-15)=,40
47-16-11=,20
41+(46-13)=,74
44-49+17=,12
(42+46)-14=,74
48+11+49=,108
43-(48+10)=,-15
47+15+15=,77
(15+16)-46=,-15
(47-43)+49=,53
17+14-13=,18
11+46-45=,12
11+47+10=,68
45+44+43=,132
11-(49+15)=,-53
11-47+43=,7
42-47+15=,10
42-10+10=,42
12-15-49=,-52
12+43+13=,68
16-(41+16)=,-41
48-48-49=,-49
44-(15+15)=,14
17-17+45=,45
46+15+44=,105
11+49-11=,49
48+15-42=,21
16-47+43=,12
41-48+44=,37
43+15+11=,69
(10+16)-12=,14
(11-11)+13=,13
13+(16-46)=,-17
10+(42-41)=,11
45-(11+49)=,-15
43+48+17=,108
(41+48)-48=,41
(14-17)+12=,9
14+(17-17)=,14
(42+17)-13=,46
43+17+45=,105
43-(48+45)=,-50
14+(45-42)=,17
49+49+11=,109
44-(45+16)=,-17
(41+13)-13=,41
16+43+43=,102
17+(47-11)=,53
(45-49)+44=,40
44-13-41=,-10
13-(44+41)=,-72
44-(43+15)=,-14
14+(15-13)=,16
10+(14-41)=,-17
43-15+47=,75
14-48-11=,-45
14+(12-16)=,10
16+16+47=,79
15+45+45=,105
10+(14-49)=,-25
45-13-46=,-14
48-(48+41)=,-41
45+(43-46)=,42
15-(48+43)=,-76
17+(44-14)=,47
(17+45)-15=,47
14-43+42=,13
14-(43+45)=,-74
(11+12)-41=,-18
48+(10-16)=,42
(43+47)-44=,46
(49-17)+15=,47
(11-10)+41=,42
48+17-17=,48
14+(41-42)=,13
48+42+47=,137
(10+47)-43=,14
42+(15-47)=,10
11-(48+49)=,-86
(42-15)+12=,39
44-47-17=,-20
10-42-44=,-76
(14+10)-14=,10
41-16+16=,41
48-42-41=,-35
45-41+48=,52
47+47-44=,50
11+14-11=,14
42+13+41=,96
42+47-14=,75
16-(12+10)=,-6
(46-13)+42=,75
(43+15)-44=,14
16-15-16=,-15
41-(42+14)=,-15
17+15+14=,46
(11-15)+44=,40
48-14+16=,50
(12+16)-46=,-18
42-43-15=,-16
45-46-45=,-46
15+(11-17)=,9
49+12-48=,13
44+17+17=,78
14+14-45=,-17
(43+47)-15=,75
12-(17+15)=,-20
11-43+12=,-20
13+(43-48)=,8
(14+17)-43=,-12
42-14-15=,13
(41-45)+14=,10
12-15-15=,-18
(44-49)+17=,12
15+16+13=,44
14+(15-12)=,17
16-10-12=,-6
42-(46+45)=,-49
10-43-16=,-49
(46-15)+48=,79
13-(15+41)=,-43
43+(11-44)=,10
47-(41+14)=,-8
11-12+16=,15
10-(41+42)=,-73
43+(10-14)=,39
48+48+49=,145
45+10-13=,42
11+16+15=,42
43-48+47=,42
45-16+47=,76
12-(47+14)=,-49
47-11-48=,-12
16+(46-43)=,19
15-47-12=,-44
49-(11+11)=,27
(46-15)+47=,78
41+45+44=,130
15+(17-13)=,19
(41+15)-12=,44
46+(47-15)=,78
45-42+47=,50
41-(45+48)=,-52
47+(42-11)=,78
44-42-16=,-14
15+10-49=,-24
10-17-13=,-20
42+(48-11)=,79
41+43+45=,129
14-44+43=,13
41+12+12=,65
(13-10)+12=,15
10+(46-48)=,8
17+(13-47)=,-17
44-(14+12)=,18
(45+17)-44=,18
49-(10+13)=,26
45-48+14=,11
46+47-12=,81
12-44-10=,-42
44-13-45=,-14
(15-12)+11=,14
(45+44)-45=,44
(46-14)+44=,76
49-44-47=,-42
49-(44+47)=,-42
48+(42-43)=,47
14+13-46=,-19
47-(42+43)=,-38
15-(44+10)=,-39
42-12+43=,73
13+11+45=,69
43-43-15=,-15
10+16+14=,40
(45+49)-17=,77
48+46-45=,49
16-16-41=,-41
41+14+16=,71
10+(46-45)=,11
43-43+10=,10
49-48+43=,44
11-16+49=,44
49-10-16=,23
11-44+47=,14
10-(43+14)=,-47
41+11-42=,10
41-(11+49)=,-19
42-43-14=,-15
49-49+43=,43
(49-11)+12=,50
42+(11-41)=,12
(48+10)-10=,48
45+(14-49)=,10
(13-15)+17=,15
45+45+15=,105
42-(16+45)=,-19
46-(16+46)=,-16
(47-48)+47=,46
44-47+13=,10
15+11+46=,72
41-(43+10)=,-12
12+16-47=,-19
42+43-11=,74
15+15+46=,76
(41-42)+46=,45
44+15-15=,44
42-12+44=,74
(48-11)+49=,86
49+17+45=,111
(43-15)+15=,43
12+(46-11)=,47
12-(15+46)=,-49
(10-44)+48=,14
46+17-41=,22
(49-16)+49=,82
15-(16+12)=,-13
(42-47)+46=,41
(17-10)+17=,24
(42+48)-15=,75
10+(10-15)=,5
17+(11-41)=,-13
15+(43-10)=,48
10-49+13=,-26
12-(46+13)=,-47
43-44+49=,48
47+(44-45)=,46
(47+49)-41=,55
47-(48+48)=,-49
(16+14)-42=,-12
11+(48-17)=,42
17+43-10=,50
46+14-45=,15
44-(10+48)=,-14
(47-48)+41=,40
49+(43-44)=,48
14-(15+45)=,-46
15+(44-10)=,49
14-11-10=,-7
41+45-11=,75
(12+12)-11=,13
48+(14-49)=,13
(15+47)-42=,20
(16-13)+11=,14
(11-42)+47=,16
(45+12)-49=,8
17-(17+46)=,-46
17-49-16=,-48
41-13-47=,-19
13-(43+48)=,-78
42+(42-47)=,37
43-(43+48)=,-48
47+(15-12)=,50
47+(15-41)=,21
41-46+46=,41
48-43+17=,22
12-47+14=,-21
47-13-15=,19
17-(49+13)=,-45
