src,tgt
43-37+47=,53
(45+43)-38=,50
49+(44-40)=,53
38-(34+43)=,-39
48-41+49=,56
47-34-40=,-27
38+37+41=,116
35+39-37=,37
48-48-36=,-36
42+44+35=,121
(43+42)-39=,46
(35+44)-43=,36
46+45-48=,43
37+(49-46)=,40
34-41-38=,-45
(44+39)-42=,41
41+37+44=,122
38-(34+34)=,-30
(39+44)-46=,37
46-(48+42)=,-44
49+(44-42)=,51
34-36-49=,-51
(46+37)-42=,41
(42-36)+47=,53
42-41+44=,45
(42-41)+34=,35
40-44+34=,30
38-43-41=,-46
38-(45+38)=,-45
(44-37)+44=,51
36-48+47=,35
36-(37+37)=,-38
42-(41+43)=,-42
49+(37-43)=,43
47-(42+46)=,-41
37-42+36=,31
(40+48)-47=,41
49+(47-44)=,52
41+36+36=,113
43+34-40=,37
(34-43)+34=,25
48-46-44=,-42
38+38-38=,38
(34-48)+38=,24
41-(37+44)=,-40
38+(37-47)=,28
48+38-45=,41
(35-43)+37=,29
37+(43-49)=,31
34-40-37=,-43
48+43+48=,139
44-45+47=,46
47-35+41=,53
43+(38-43)=,38
46-35+39=,50
34-(44+36)=,-46
(46-36)+41=,51
43+41+41=,125
36-49+42=,29
36-40-41=,-45
(34+35)-42=,27
(42-34)+42=,50
38+(41-45)=,34
40+(46-49)=,37
36+49+49=,134
49-44-44=,-39
45-(38+45)=,-38
36-(41+34)=,-39
(39-43)+43=,39
(40+35)-47=,28
36-(34+40)=,-38
(34+48)-46=,36
40+45+41=,126
(38+48)-49=,37
37+(44-46)=,35
45+34-34=,45
(46+35)-49=,32
47+(49-39)=,57
(43+43)-48=,38
45-(39+43)=,-37
(45-48)+40=,37
46-47+35=,34
(45+41)-44=,42
(45-45)+39=,39
36-(49+34)=,-47
(36-40)+39=,35
37-(44+44)=,-51
42+36+39=,117
38+(45-45)=,38
37-37+38=,38
47-34-44=,-31
48+(48-36)=,60
49-48+44=,45
43-37+41=,47
43-(45+39)=,-41
44-42+43=,45
(42-43)+48=,47
(46-48)+34=,32
41-(49+43)=,-51
49+38+36=,123
44-(41+49)=,-46
49+38-49=,38
34-(46+38)=,-50
48-41+37=,44
44-35-48=,-39
(43+44)-47=,40
(44-46)+49=,47
39+(40-48)=,31
39+(41-45)=,35
47-(45+49)=,-47
49-49-46=,-46
49+39-36=,52
34-36-42=,-44
39-42-42=,-45
(37-35)+49=,51
34+44+39=,117
41-43+47=,45
44+42-47=,39
39+(44-34)=,49
38+(43-44)=,37
44-46-41=,-43
(44-45)+34=,33
42+45-36=,51
49-44-46=,-41
48+(42-38)=,52
43+46+38=,127
42-36+46=,52
40+(40-35)=,45
49+(47-45)=,51
37+(35-41)=,31
39+(40-39)=,40
(46-34)+41=,53
34-(35+40)=,-41
36+40+48=,124
(44-35)+39=,48
45-42+46=,49
45-(42+40)=,-37
36-40-40=,-44
45+34+40=,119
(49-39)+35=,45
38+36-38=,36
36+(36-44)=,28
(48-37)+45=,56
35+43+47=,125
39+(47-49)=,37
(40+42)-38=,44
(36+46)-42=,40
(44-34)+45=,55
37-36+40=,41
40-(46+45)=,-51
(44-34)+34=,44
(39+39)-46=,32
44-(49+47)=,-52
(44-45)+47=,46
37-43+43=,37
(37+47)-35=,49
35-39+49=,45
41-42-48=,-49
48+(38-34)=,52
40-(34+39)=,-33
39+38-35=,42
41+43-47=,37
42+48+40=,130
41-48-39=,-46
35+(34-48)=,21
46-37-43=,-34
(40+34)-48=,26
(44-45)+36=,35
37-41+47=,43
42+(46-43)=,45
(37-49)+49=,37
(46+42)-42=,46
39-43-39=,-43
48+41-36=,53
(48-35)+40=,53
43-(36+48)=,-41
47-36+44=,55
(49-37)+34=,46
38-(45+42)=,-49
(46-43)+41=,44
49-(44+48)=,-43
35+46-46=,35
(36+47)-35=,48
(36-44)+34=,26
43+44+39=,126
(45-40)+38=,43
48-(42+36)=,-30
(39+43)-40=,42
39-39-47=,-47
34-(35+39)=,-40
40+48-41=,47
37+48-38=,47
39+34+38=,111
37-38+40=,39
37+47-35=,49
(34-47)+45=,32
(34+35)-41=,28
44+(46-46)=,44
48+49+49=,146
46+45-38=,53
(37-49)+41=,29
36-(41+48)=,-53
38-(37+36)=,-35
(47-37)+34=,44
47-(41+41)=,-35
44-39+39=,44
36+34+37=,107
47-38+38=,47
(44+41)-47=,38
40-46-36=,-42
43+(34-36)=,41
41-(42+34)=,-35
49+(37-44)=,42
40+(45-34)=,51
43+(42-45)=,40
34-49-36=,-51
34+43-34=,43
40-(44+38)=,-42
35-39+39=,35
42-(40+45)=,-43
44-43+35=,36
35+(34-47)=,22
46+38-42=,42
41+(35-35)=,41
37-42-36=,-41
(46+45)-39=,52
(37-34)+49=,52
39+(44-38)=,45
(45+45)-40=,50
35-(47+39)=,-51
35+(41-41)=,35
47-36-46=,-35
(35+36)-41=,30
37-(49+46)=,-58
37-44+45=,38
39-35+48=,52
44-41+49=,52
(38+38)-43=,33
(34-42)+37=,29
41-39+44=,46
45-41-41=,-37
(43-36)+42=,49
35-47-43=,-55
39+36-38=,37
49+45-44=,50
(46-38)+43=,51
(42+34)-40=,36
(39-40)+37=,36
37-(46+36)=,-45
34+42-36=,40
(46+46)-38=,54
43+38-49=,32
(40+47)-48=,39
34-(35+37)=,-38
37+40+41=,118
48+(35-34)=,49
36-42+37=,31
(45+42)-36=,51
38-(44+43)=,-49
34+37-46=,25
38+44+42=,124
41-(37+46)=,-42
40-42+41=,39
42+46-43=,45
40-(34+41)=,-35
36+40+34=,110
(48-45)+44=,47
47-37+46=,56
43+(49-41)=,51
47+40+46=,133
41-36+44=,49
43-47+48=,44
42-47-36=,-41
45-49+43=,39
37+44-36=,45
36+41-49=,28
45+47-43=,49
(44+40)-40=,44
40-42-44=,-46
35+38+47=,120
(39+47)-34=,52
(45+37)-35=,47
35-49+39=,25
46+36-40=,42
48+(38-48)=,38
43+45+40=,128
45-41-39=,-35
40-39-42=,-41
35+39-49=,25
47+(36-46)=,37
34-41-41=,-48
45-44-49=,-48
36+39+48=,123
39+39+46=,124
(43+49)-40=,52
(38+35)-39=,34
41-49+49=,41
48+35-47=,36
35+34-41=,28
(35-43)+44=,36
(49-41)+45=,53
35-36-36=,-37
35+(39-46)=,28
(36-35)+36=,37
48+39+49=,136
(37-48)+48=,37
45+(49-35)=,59
35+(47-40)=,42
43-(39+36)=,-32
(34-49)+43=,28
42-48-49=,-55
43+43+40=,126
42+47+43=,132
36-39+37=,34
48-43-44=,-39
41-38-43=,-40
(37-44)+46=,39
(44-45)+37=,36
(45-43)+43=,45
43-44+37=,36
37-(48+47)=,-58
(45-46)+45=,44
(43+47)-37=,53
(46-47)+48=,47
37-40+36=,33
37-42+38=,33
46+(40-46)=,40
41-43+45=,43
36-35+40=,41
48-47-49=,-48
49+(35-48)=,36
(47-46)+35=,36
43+(40-34)=,49
38+(46-41)=,43
49+45-43=,51
45+36-48=,33
42-34+39=,47
47+45+38=,130
48-48+37=,37
47+36+38=,121
43+42+47=,132
(39-34)+36=,41
48-38-36=,-26
(35+36)-47=,24
39+46-37=,48
38+44-44=,38
34+36-48=,22
(40-41)+46=,45
39+43+34=,116
36+41-48=,29
38+35+43=,116
40+(41-41)=,40
46-39-41=,-34
39+41+35=,115
38+41-49=,30
43+49+43=,135
(34+37)-38=,33
41-(49+34)=,-42
40+42+47=,129
(46-40)+48=,54
48+48+40=,136
41-(39+38)=,-36
(37-37)+49=,49
47+(36-34)=,49
44+(42-47)=,39
49+45+43=,137
(37+37)-45=,29
48-47+47=,48
41-(34+45)=,-38
45+(42-44)=,43
44+39+47=,130
40-37+44=,47
(44+49)-45=,48
38-(35+37)=,-34
(36+47)-47=,36
43+45-37=,51
40-42+48=,46
35-46-44=,-55
46-48-38=,-40
34-(38+35)=,-39
34-42+48=,40
46+(48-45)=,49
41-(47+34)=,-40
42-41-41=,-40
34-(37+34)=,-37
48-45-40=,-37
37+(42-43)=,36
39-38+41=,42
(45+45)-34=,56
39-(38+48)=,-47
38-38-41=,-41
38-(35+39)=,-36
(49+34)-45=,38
47+34+43=,124
39-43+34=,30
(49-35)+49=,63
(45-41)+46=,50
44+41-41=,44
47-49+47=,45
41+41+41=,123
40+36-35=,41
(37+42)-49=,30
41+36-47=,30
46+(43-46)=,43
37+38+47=,122
39+47+34=,120
45-(45+47)=,-47
(44+48)-44=,48
40-38-35=,-33
48+40+36=,124
(47-39)+35=,43
36+44+39=,119
38-43-43=,-48
46+(48-44)=,50
38+46-38=,46
41-42-41=,-42
43+(47-49)=,41
35-(40+39)=,-44
(34-43)+45=,36
(39+38)-42=,35
43+(45-37)=,51
44+47-43=,48
46+39+48=,133
37+38-38=,37
(40-39)+43=,44
43-(41+42)=,-40
36+(45-40)=,41
(49-36)+37=,50
36-(45+45)=,-54
43+(34-38)=,39
41+46+41=,128
39+(35-45)=,29
45+(43-38)=,50
40-41+43=,42
(38+38)-35=,41
(39+34)-42=,31
36+48-35=,49
49+42+37=,128
44-43-48=,-47
47-(42+41)=,-36
39-40+42=,41
36+(44-42)=,38
40-36+36=,40
(37+45)-43=,39
42-43+41=,40
36+(41-38)=,39
36-38-39=,-41
47-(34+37)=,-24
37+38+36=,111
46-39+39=,46
43-(43+45)=,-45
49-34+36=,51
49-48-40=,-39
(46+48)-40=,54
48+(45-44)=,49
(38-49)+47=,36
36+(37-44)=,29
48+(39-34)=,53
47+40+48=,135
43-(36+36)=,-29
37+38-47=,28
45+36+35=,116
35-42+34=,27
49+36+46=,131
40+(38-45)=,33
34-(38+38)=,-42
(43+34)-46=,31
40+45-49=,36
(38+48)-37=,49
(39+37)-42=,34
(35+46)-36=,45
39-44+48=,43
(48-49)+37=,36
41-39+36=,38
(49-37)+40=,52
(37-47)+48=,38
40-49+46=,37
43+36-38=,41
35+(48-49)=,34
(48-36)+40=,52
44+49+34=,127
34+45+48=,127
41+(42-45)=,38
46+42-49=,39
43+(40-45)=,38
(36-48)+42=,30
(47+49)-48=,48
38+41+43=,122
44-39-45=,-40
47+37+48=,132
47-35+36=,48
46+49+40=,135
43-(46+37)=,-40
(48-38)+40=,50
(37+48)-39=,46
48+36-36=,48
39+(39-47)=,31
38-49-43=,-54
38+37-45=,30
(36-34)+44=,46
46+47-40=,53
38+49-37=,50
(36+43)-42=,37
42-34-42=,-34
36-(37+45)=,-46
46+45-40=,51
39-34+39=,44
49+34-41=,42
41+49-34=,56
38-34+35=,39
(37-43)+45=,39
(43-49)+48=,42
34+(35-49)=,20
40+(36-47)=,29
34-48-38=,-52
(35+42)-48=,29
43+38-38=,43
(40+44)-39=,45
44+49-47=,46
(46-47)+37=,36
(46-46)+34=,34
40-36-43=,-39
43+(49-44)=,48
43+(40-44)=,39
(40+35)-35=,40
42-(37+46)=,-41
(47-38)+47=,56
45+(35-46)=,34
(37-39)+45=,43
48+(34-42)=,40
38+39-44=,33
42-43-46=,-47
45-(48+46)=,-49
36+40+47=,123
(39+48)-36=,51
(36+40)-39=,37
42-(35+49)=,-42
48-39+42=,51
41-49+37=,29
39+(44-39)=,44
(36-43)+45=,38
34+(44-35)=,43
45-39+37=,43
(44-40)+40=,44
42-38-48=,-44
(40-42)+42=,40
43-39-49=,-45
41-38-39=,-36
34+49-41=,42
(35+36)-48=,23
(45+43)-42=,46
41-(47+49)=,-55
(45+47)-45=,47
43-43-45=,-45
(38+34)-44=,28
38+47-38=,47
49+48+47=,144
38-35+37=,40
49-(35+37)=,-23
38-(46+45)=,-53
(43-34)+37=,46
36-41+41=,36
35+(47-42)=,40
44-46-45=,-47
(40-38)+43=,45
37-(36+34)=,-33
34+(35-41)=,28
34-(34+45)=,-45
(35-35)+37=,37
42+35+35=,112
(37+43)-45=,35
40-43+39=,36
44+40+45=,129
40+(42-45)=,37
43+48+40=,131
(41-42)+43=,42
34+(38-46)=,26
38+49-35=,52
(46+41)-44=,43
34-(41+39)=,-46
47+43-44=,46
45+36+44=,125
42+49+37=,128
43-43-48=,-48
35+(40-48)=,27
47+49-43=,53
(47+47)-39=,55
35+34+41=,110
(39-34)+44=,49
(42+35)-40=,37
36-(45+41)=,-50
(41-42)+39=,38
39+38+37=,114
39+(38-49)=,28
40+(37-37)=,40
40-(36+42)=,-38
42-43-49=,-50
34-39+48=,43
44+34-44=,34
35+(49-48)=,36
(42+41)-49=,34
35+34+37=,106
35+(42-38)=,39
(47-43)+35=,39
41+(43-46)=,38
46-37+48=,57
42-47-38=,-43
41+(41-46)=,36
38-39-44=,-45
41+48+45=,134
(41-37)+38=,42
49-49+45=,45
42-(41+40)=,-39
44-(42+37)=,-35
(38-47)+34=,25
(46-34)+49=,61
(35-36)+37=,36
40+44-35=,49
46-42-36=,-32
37+39+37=,113
44-42+47=,49
38-(44+47)=,-53
36-41-44=,-49
45-38-47=,-40
49-40-45=,-36
47+45+41=,133
46+(38-49)=,35
36+47+47=,130
39+36+40=,115
(49-41)+35=,43
48+(34-38)=,44
35+39-48=,26
(48-40)+38=,46
(37+49)-35=,51
(38-47)+42=,33
(36-38)+46=,44
(43+41)-34=,50
(44+34)-46=,32
42-35-47=,-40
45+44-44=,45
38+44-47=,35
(40-49)+45=,36
48-44-34=,-30
49-(40+46)=,-37
47-(37+43)=,-33
47-48+47=,46
47+43+49=,139
40+48-36=,52
47-49+34=,32
44+(40-37)=,47
(37+38)-46=,29
