src,tgt
19-13+23=,29
(21+19)-14=,26
25+(20-16)=,29
14-(10+19)=,-15
24-17+25=,32
23-10-16=,-3
14+13+17=,44
11+15-13=,13
24-24-12=,-12
18+20+11=,49
(19+18)-15=,22
(11+20)-19=,12
22+21-24=,19
13+(25-22)=,16
10-17-14=,-21
(20+15)-18=,17
17+13+20=,50
14-(10+10)=,-6
(15+20)-22=,13
22-(24+18)=,-20
25+(20-18)=,27
10-12-25=,-27
(22+13)-18=,17
(18-12)+23=,29
18-17+20=,21
(18-17)+10=,11
16-20+10=,6
14-19-17=,-22
14-(21+14)=,-21
(20-13)+20=,27
12-24+23=,11
12-(13+13)=,-14
18-(17+19)=,-18
25+(13-19)=,19
23-(18+22)=,-17
13-18+12=,7
(16+24)-23=,17
25+(23-20)=,28
17+12+12=,41
19+10-16=,13
(10-19)+10=,1
24-22-20=,-18
14+14-14=,14
(10-24)+14=,0
17-(13+20)=,-16
14+(13-23)=,4
24+14-21=,17
(11-19)+13=,5
13+(19-25)=,7
10-16-13=,-19
24+19+24=,67
20-21+23=,22
23-11+17=,29
19+(14-19)=,14
22-11+15=,26
10-(20+12)=,-22
(22-12)+17=,27
19+17+17=,53
12-25+18=,5
12-16-17=,-21
(10+11)-18=,3
(18-10)+18=,26
14+(17-21)=,10
16+(22-25)=,13
12+25+25=,62
25-20-20=,-15
21-(14+21)=,-14
12-(17+10)=,-15
(15-19)+19=,15
(16+11)-23=,4
12-(10+16)=,-14
(10+24)-22=,12
16+21+17=,54
(14+24)-25=,13
13+(20-22)=,11
21+10-10=,21
(22+11)-25=,8
23+(25-15)=,33
(19+19)-24=,14
21-(15+19)=,-13
(21-24)+16=,13
22-23+11=,10
(21+17)-20=,18
(21-21)+15=,15
12-(25+10)=,-23
(12-16)+15=,11
13-(20+20)=,-27
18+12+15=,45
14+(21-21)=,14
13-13+14=,14
23-10-20=,-7
24+(24-12)=,36
25-24+20=,21
19-13+17=,23
19-(21+15)=,-17
20-18+19=,21
(18-19)+24=,23
(22-24)+10=,8
17-(25+19)=,-27
25+14+12=,51
20-(17+25)=,-22
25+14-25=,14
10-(22+14)=,-26
24-17+13=,20
20-11-24=,-15
(19+20)-23=,16
(20-22)+25=,23
15+(16-24)=,7
15+(17-21)=,11
23-(21+25)=,-23
25-25-22=,-22
25+15-12=,28
10-12-18=,-20
15-18-18=,-21
(13-11)+25=,27
10+20+15=,45
17-19+23=,21
20+18-23=,15
15+(20-10)=,25
14+(19-20)=,13
20-22-17=,-19
(20-21)+10=,9
18+21-12=,27
25-20-22=,-17
24+(18-14)=,28
19+22+14=,55
18-12+22=,28
16+(16-11)=,21
25+(23-21)=,27
13+(11-17)=,7
15+(16-15)=,16
(22-10)+17=,29
10-(11+16)=,-17
12+16+24=,52
(20-11)+15=,24
21-18+22=,25
21-(18+16)=,-13
12-16-16=,-20
21+10+16=,47
(25-15)+11=,21
14+12-14=,12
